"No";"Penjabaran Risiko";"Internal/Eksternal";"Kategori Risiko";"Nama Aset";"Kategori Aset";"Akar Masalah";"Penyebab";"Akibat";"Ancaman";"Kerentanan";"Pengendalian Saat Ini";"Lingkup CIA";"Referensi Pengendalian";"Jenis Risiko";"Tingkat Dampak";"Tingkat Probabilitas";"Tingkat Risiko";"Risk Appetite";"Risk Tolerance";"Annex ISO"
"1";"Akses Tidak Terotorisasi terhadap Source Code Application";"Internal";"Kepatuhan";"Source Code Application";"Information";"Kurangnya pengendalian akses berbasis peran (RBAC) yang komprehensif dan monitoring aktivitas pengembang terhadap source code repository";"Tidak adanya integrasi Identity and Access Management (IAM) yang kuat dengan version control system, audit trail yang tidak memadai, serta kurangnya pelatihan keamanan bagi tim developer";"Potensi modifikasi, pencurian, atau penghapusan source code yang dapat mengakibatkan kehilangan kekayaan intelektual, gangguan layanan aplikasi, dan dampak finansial signifikan";"Insider Threat; Unauthorized Access; Social Engineering";"Absence of role-based access control (RBAC) pada repository; Insufficient audit logging; Weak password policies; Lack of multi-factor authentication (MFA)";"Basic access control melalui username/password; Limited audit logging";"Kerahasiaan; Keutuhan";"ISO 27001:2022 A.8.2.1 (User Registration); A.8.2.2 (Privileged Access Rights); A.8.2.3 (Information Access Restriction); A.9.2.1 (User Registration and De-registration); Annex A.8.3.1 (Password Management)";"Keamanan Informasi";"5";"4";"20";"8";"Dampak ≤ 3; Probabilitas ≤ 3";"A.8.2.1; A.8.2.2; A.8.2.3; A.9.2.1; A.8.3.1"
"2";"Insufficient Encryption of Sensitive Data dalam Development Tools";"Internal";"Kepatuhan";"Development Tools";"Software";"Ketiadaan standar enkripsi data end-to-end untuk informasi sensitif yang tersimpan dalam development tools, serta belum ada mekanisme secure key management";"Keterbatasan financial resource untuk implementasi enterprise-grade encryption solutions; Kurangnya awareness terhadap regulatory requirements (ISO 27001, GDPR); Absence of data classification policy";"Paparan data sensitif kepada pihak yang tidak berwenang, potensi compliance violations, kehilangan competitive advantage melalui reverse engineering, serta peningkatan risk profile organisasi";"Data Breach; Man-in-the-Middle (MITM) Attack; Unauthorized Data Access; Physical Theft of Storage Media";"Unencrypted data storage; Weak cryptographic algorithms; Inadequate key management procedures; Absence of secure disposal mechanisms";"Basic encryption pada transit data; Ad-hoc encryption practices";"Kerahasiaan";"ISO 27001:2022 A.8.3.3 (Management of Removable Media); A.8.3.4 (Information and Other Assets Outside the Organization); A.10.1.1 (Cryptography Objectives); A.10.2.1 (Cryptographic Controls); A.10.3.1 (Cryptographic Key Management)";"Keamanan Informasi";"4";"4";"16";"8";"Dampak ≤ 3; Probabilitas ≤ 3";"A.8.3.3; A.8.3.4; A.10.1.1; A.10.2.1; A.10.3.1"
"3";"Intellectual Property (IP) Rights Infringement terhadap Aplikasi Proprietary";"Eksternal";"Hukum";"Hak Cipta / Kekayaan Intelektual (IP) Aplikasi";"Intangible";"Ketiadaan mekanisme proteksi IP yang komprehensif, termasuk inadequate patent filing, trademark registration, dan enforcement procedures; Absence of IP audit trail";"Kurangnya coordination antara legal department dan IT team; Insufficient budget allocation untuk IP protection; Inadequate vendor management terhadap open-source license compliance";"Potensi litigasi biaya tinggi, reputasi damage, kehilangan revenue streams, forced code changes, serta constraint pada business growth initiatives";"IP Piracy; Unauthorized Use of Trade Secrets; Infringement Claims; Unauthorized Disclosure to Competitors";"Lack of IP protection mechanisms; Inadequate contractual safeguards; Weak vendor management; Insufficient trade secret protection measures";"Basic copyright notices; Informal IP documentation";"Kerahasiaan; Keutuhan";"ISO 27001:2022 A.5.1.1 (Policies for Information Security); A.5.1.2 (Information Security Roles and Responsibilities); A.8.1.1 (Inventory of Assets); A.13.1.1 (Management of Information Security Incidents and Improvements)";"Hukum & Regulasi";"5";"3";"15";"6";"Dampak ≤ 2; Probabilitas ≤ 2";"A.5.1.1; A.5.1.2; A.8.1.1; A.13.1.1"
"4";"Key Personnel Dependency Risk dalam Development Team";"Internal";"Operasional";"Tim Programmer / Developer (In-house)";"People";"Konsentrasi knowledge kritis pada limited number of developers; Insufficient documentation of critical processes; Inadequate knowledge transfer mechanisms";"High turnover rate dalam IT industry; Inadequate succession planning; Insufficient investment dalam talent development; Absence of knowledge management system";"Disruption terhadap development cycles, delays dalam project delivery, quality degradation, increased maintenance costs, serta potensi security vulnerabilities akibat knowledge loss";"Key Personnel Resignation; Loss of Institutional Knowledge; Inadequate Backup Resources; Absence of Cross-Training";"Lack of documentation; Single point of failure; Absence of cross-functional training; Inadequate knowledge management procedures";"Basic project documentation; Ad-hoc knowledge sharing";"Ketersediaan; Keutuhan";"ISO 27001:2022 A.6.1.1 (Screening); A.6.2.1 (Confidentiality/Non-Disclosure Agreements); A.6.3.1 (Information Security Awareness and Training); A.6.3.2 (Information Security Competence)";"Sumber Daya Manusia";"4";"3";"12";"9";"Dampak ≤ 3; Probabilitas ≤ 3";"A.6.1.1; A.6.2.1; A.6.3.1; A.6.3.2"
"5";"Inadequate API Specification Documentation dan Version Control";"Internal";"Operasional";"API Spec Documentation";"Information";"Ketiadaan centralized API documentation repository dengan proper version control; Absence of standardized API documentation format; Insufficient access controls terhadap API specifications";"Rapid development cycles yang menyebabkan documentation lag; Lack of dedicated documentation team; Absence of API governance framework; Inadequate tooling infrastructure";"Integration failures, increased development time, security vulnerabilities melalui improper API usage, data consistency issues, serta difficulty dalam troubleshooting dan maintenance";"Undocumented API Changes; API Misuse; Information Disclosure; Version Confusion";"Lack of centralized documentation; No version control mechanism; Inadequate access controls; Absence of change notification system";"Dispersed documentation; Manual versioning";"Kerahasiaan; Keutuhan; Ketersediaan";"ISO 27001:2022 A.8.1.1 (Inventory of Assets); A.12.5.1 (Installation of Software on Operational Systems); A.12.6.1 (Management of Technical Vulnerabilities)";"Keamanan Informasi & Operasional";"3";"4";"12";"8";"Dampak ≤ 3; Probabilitas ≤ 3";"A.8.1.1; A.12.5.1; A.12.6.1"
"6";"Unauthorized Access dan Modification of Business Requirements Documents";"Internal";"Kepatuhan";"Dokumen BRD, FSD, & User Story";"Information";"Inadequate access controls pada shared documents; Absence of change tracking mechanisms; Insufficient authentication pada document repository";"Reliance pada unmanaged file sharing systems; Lack of Information Classification policy; Inadequate IAM integration; Absence of audit logging for document access";"Misalignment antara business requirements dengan application implementation, project delays, scope creep, quality issues, serta potential compliance violations";"Unauthorized Document Modification; Data Loss; Information Disclosure; Audit Trail Tampering";"Inadequate access control; Absence of change tracking; Weak document lifecycle management; Insufficient audit logging";"Basic file permissions; Manual version control";"Keutuhan; Kerahasiaan";"ISO 27001:2022 A.8.2.2 (Privileged Access Rights); A.8.2.3 (Information Access Restriction); A.12.4.1 (Event Logging)";"Keamanan Informasi";"3";"3";"9";"8";"Dampak ≤ 2; Probabilitas ≤ 3";"A.8.2.2; A.8.2.3; A.12.4.1"
"7";"Loss of Business Continuity akibat Data Center Infrastructure Failure";"Internal";"Operasional";"Data Center";"Hardware";"Inadequate redundancy dalam data center infrastructure; Insufficient disaster recovery planning; Inadequate backup systems; Limited failover capabilities";"Budget constraints untuk infrastructure investment; Lack of comprehensive BCP/DRP assessment; Inadequate monitoring terhadap critical infrastructure; Absence of regular failover testing";"Extended downtime, loss of revenue, customer dissatisfaction, regulatory penalties, reputational damage, serta potential loss of critical business data";"Hardware Failure; Natural Disasters; Power Outages; Cooling System Failure; Facility Compromise";"Single point of failure; Inadequate backup power systems; Insufficient redundancy; Inadequate disaster recovery procedures";"Basic power backup; Incomplete disaster recovery plan";"Ketersediaan";"ISO 27001:2022 A.8.3.2 (Segregation of Networks); A.11.1.1 (Physical Security Perimeter); A.11.2.1 (Physical Entry); A.17.1.1 (Planning Information Security Continuity); A.17.2.1 (Implementing Information Security Continuity)";"Operasional & Ketersediaan";"5";"2";"10";"6";"Dampak ≤ 3; Probabilitas ≤ 2";"A.8.3.2; A.11.1.1; A.11.2.1; A.17.1.1; A.17.2.1"
"8";"Inadequate Testing Environment Isolation dan Data Sanitization";"Internal";"Operasional";"Test Environment (Lingkungan Uji)";"Hardware";"Ketiadaan proper network segregation antara test dan production environments; Inadequate data sanitization procedures; Improper handling dari sensitive production data dalam test environment";"Cost optimization mindset terhadap infrastructure; Lack of data classification awareness; Absence of data sanitization policy; Inadequate security architecture review";"Accidental exposure dari sensitive data, compliance violations, security vulnerabilities dalam testing code yang may reach production, serta increased attack surface";"Data Leakage from Test Environment; Cross-Contamination between Environments; Unauthorized Access to Test Data; Malware Propagation";"Inadequate network segregation; Unencrypted sensitive data dalam test environment; Absence of access controls; Insufficient audit logging";"Basic environment separation; Manual data handling";"Kerahasiaan; Ketersediaan";"ISO 27001:2022 A.8.3.2 (Segregation of Networks); A.12.1.3 (Segregation of Development, Testing and Operational Environments); A.8.3.3 (Management of Removable Media)";"Keamanan Informasi";"4";"3";"12";"8";"Dampak ≤ 2; Probabilitas ≤ 3";"A.8.3.2; A.12.1.3; A.8.3.3"
"9";"Inadequate Vulnerability Management dan Patch Management dalam CI/CD Pipeline";"Internal";"Kepatuhan";"Script CI/CD Pipeline";"Information";"Absence of automated vulnerability scanning dalam CI/CD pipeline; Insufficient patch management procedures; Inadequate security testing integration; Lack of security gates dalam deployment process";"Prioritization pada speed-to-market over security considerations; Absence of DevSecOps culture; Inadequate staffing dalam security function; Lack of proper tooling";"Deployment dari vulnerable applications, increased security incident risk, compliance violations, extended remediation time, customer trust degradation";"Vulnerable Code Deployment; Zero-Day Exploitation; Supply Chain Attacks; Malicious Code Injection";"Absence of SAST/DAST integration; No runtime security controls; Inadequate dependency scanning; Insufficient code review practices";"Basic code review; Limited security testing";"Kerahasiaan; Keutuhan; Ketersediaan";"ISO 27001:2022 A.12.6.1 (Management of Technical Vulnerabilities); A.12.5.1 (Installation of Software on Operational Systems); A.14.1.1 (Information Security Requirements for Software Development)";"Keamanan Informasi";"5";"4";"20";"8";"Dampak ≤ 2; Probabilitas ≤ 2";"A.12.6.1; A.12.5.1; A.14.1.1"
"10";"Inadequate Database Access Controls dan Privileged Access Management";"Internal";"Kepatuhan";"Database Core System";"Information";"Absence of comprehensive PAM solution; Inadequate role-based access control; Insufficient credential management; Lack of database audit logging";"Legacy infrastructure dengan limited PAM capabilities; Budget constraints untuk enterprise security solutions; Inadequate security awareness; Absence of database hardening standards";"Unauthorized data access, data breach, data manipulation, compliance violations (GDPR, PCI-DSS), reputational damage, legal liability";"Insider Threats; Unauthorized Data Queries; SQL Injection; Credential Theft; Privilege Escalation";"Weak password management; Excessive database privileges; Absence of session recording; Inadequate audit logging; Lack of IP whitelisting";"Basic authentication; Limited audit capability";"Kerahasiaan; Keutuhan; Ketersediaan";"ISO 27001:2022 A.8.2.2 (Privileged Access Rights); A.8.2.4 (Access to Cryptographic Keys); A.12.4.1 (Event Logging); A.9.1.2 (Privileged Access Rights)";"Keamanan Informasi";"5";"3";"15";"6";"Dampak ≤ 2; Probabilitas ≤ 2";"A.8.2.2; A.8.2.4; A.12.4.1; A.9.1.2"
